,calories,protein,fat,sodium,rating
671,131.0,1.0,0.0,5.0,5.0
673,549.0,23.0,19.0,1261.0,4.375
674,784.0,7.0,52.0,263.0,4.375
675,499.0,18.0,45.0,674.0,2.5
676,537.0,13.0,27.0,593.0,4.375
677,159.0,7.0,10.0,539.0,4.375
679,333.0,11.0,18.0,131.0,4.375
680,1564.0,56.0,142.0,275.0,3.75
681,275.0,14.0,16.0,120.0,4.375
682,262.0,2.0,1.0,438.0,4.375
684,194.0,17.0,6.0,932.0,5.0
687,1137.0,8.0,40.0,174.0,3.75
688,1699.0,72.0,107.0,332.0,4.375
691,776.0,50.0,35.0,1177.0,4.375
692,834.0,49.0,53.0,919.0,4.375
693,437.0,11.0,4.0,643.0,4.375
694,129.0,2.0,10.0,393.0,4.375
696,194.0,4.0,12.0,713.0,5.0
697,121.0,1.0,0.0,6.0,3.75
699,105.0,2.0,8.0,14.0,4.375
700,415.0,72.0,11.0,8112.0,4.375
701,715.0,13.0,21.0,635.0,3.75
703,627.0,31.0,44.0,1299.0,0.0
704,713.0,60.0,51.0,971.0,4.375
706,456.0,4.0,30.0,148.0,4.375
708,342.0,5.0,6.0,437.0,5.0
713,495.0,37.0,26.0,117.0,3.75
715,250.0,9.0,15.0,1044.0,4.375
718,1055.0,51.0,41.0,2778.0,4.375
722,318.0,28.0,17.0,373.0,4.375
723,628.0,31.0,51.0,526.0,4.375
724,122.0,4.0,11.0,38.0,4.375
725,191.0,6.0,12.0,203.0,4.375
727,278.0,4.0,8.0,191.0,3.125
728,127.0,8.0,9.0,177.0,3.75
729,335.0,13.0,29.0,111.0,4.375
730,1600.0,249.0,53.0,12450.0,5.0
731,703.0,37.0,43.0,422.0,5.0
734,204.0,1.0,20.0,369.0,5.0
736,229.0,6.0,6.0,421.0,5.0
737,680.0,29.0,41.0,541.0,3.75
738,384.0,16.0,12.0,958.0,4.375
739,253.0,21.0,15.0,205.0,4.375
740,946.0,30.0,17.0,1285.0,4.375
741,247.0,2.0,18.0,79.0,3.125
744,668.0,55.0,34.0,1586.0,4.375
745,176.0,0.0,0.0,3.0,3.75
747,396.0,12.0,32.0,398.0,4.375
748,454.0,23.0,34.0,393.0,5.0
750,538.0,28.0,30.0,384.0,3.75
751,206.0,6.0,14.0,508.0,4.375
752,755.0,15.0,77.0,1347.0,4.375
754,739.0,23.0,24.0,5228.0,3.75
756,555.0,29.0,38.0,688.0,4.375
757,187.0,1.0,0.0,787.0,2.5
758,851.0,41.0,42.0,504.0,4.375
759,126.0,2.0,11.0,208.0,5.0
760,438.0,32.0,23.0,158.0,3.75
761,355.0,4.0,22.0,196.0,3.75
763,180.0,1.0,0.0,4.0,5.0
764,590.0,11.0,21.0,26.0,2.5
765,1058.0,56.0,30.0,2058.0,0.0
766,585.0,23.0,39.0,854.0,5.0
767,483.0,32.0,32.0,1580.0,4.375
768,441.0,7.0,22.0,29.0,4.375
769,147.0,0.0,0.0,4.0,0.0
773,425.0,11.0,23.0,45351.0,4.375
775,420.0,54.0,20.0,408.0,3.75
776,341.0,3.0,21.0,201.0,3.125
778,469.0,26.0,28.0,1085.0,3.125
779,407.0,28.0,19.0,93.0,4.375
782,623.0,3.0,8.0,69.0,3.75
783,414.0,12.0,19.0,18.0,4.375
784,228.0,3.0,14.0,67.0,5.0
785,765.0,44.0,27.0,2286.0,3.75
786,319.0,5.0,13.0,105.0,4.375
787,146.0,8.0,11.0,173.0,3.75
789,118.0,1.0,9.0,95.0,3.125
790,649.0,50.0,40.0,874.0,4.375
791,240.0,9.0,21.0,243.0,5.0
792,125.0,1.0,0.0,11.0,0.0
794,126.0,1.0,11.0,682.0,4.375
795,544.0,11.0,32.0,112.0,3.75
796,730.0,4.0,8.0,29.0,3.125
797,273.0,6.0,8.0,226.0,5.0
802,285.0,3.0,2.0,32.0,4.375
804,327.0,37.0,12.0,1368.0,3.75
805,262.0,2.0,1.0,438.0,4.375
808,394.0,2.0,41.0,58.0,1.25
809,760.0,68.0,51.0,203.0,3.75
811,1488.0,130.0,94.0,771.0,4.375
812,281.0,6.0,10.0,320.0,3.75
813,1519.0,55.0,142.0,397.0,5.0
814,363.0,9.0,35.0,251.0,4.375
815,462.0,6.0,26.0,230.0,4.375
816,376.0,23.0,29.0,170.0,3.75
817,111.0,6.0,5.0,48.0,3.125
818,1004.0,47.0,87.0,916.0,0.0
820,200.0,0.0,0.0,4.0,4.375
821,444.0,27.0,30.0,405.0,3.75
822,827.0,9.0,49.0,359.0,4.375
823,650.0,46.0,49.0,1216.0,3.75
824,134.0,2.0,3.0,160.0,4.375
825,226.0,1.0,0.0,12.0,4.375
827,198.0,4.0,15.0,479.0,4.375
828,209.0,0.0,23.0,195.0,0.0
829,392.0,21.0,22.0,201.0,3.75
830,681.0,49.0,37.0,643.0,4.375
831,570.0,57.0,31.0,188.0,3.75
832,515.0,8.0,33.0,240.0,4.375
833,767.0,65.0,45.0,647.0,4.375
834,614.0,0.0,68.0,124.0,3.75
835,169.0,0.0,18.0,149.0,5.0
836,1234.0,62.0,61.0,1073.0,4.375
837,111.0,3.0,1.0,960.0,5.0
841,717.0,81.0,41.0,2303.0,4.375
842,164.0,1.0,4.0,4.0,4.375
843,320.0,4.0,20.0,206.0,3.125
844,282.0,7.0,21.0,281.0,4.375
846,351.0,37.0,17.0,112.0,1.875
847,305.0,2.0,0.0,238.0,5.0
849,305.0,4.0,17.0,127.0,4.375
851,354.0,16.0,20.0,575.0,5.0
852,484.0,8.0,21.0,622.0,4.375
853,113.0,1.0,11.0,27.0,5.0
854,829.0,9.0,37.0,897.0,5.0
855,290.0,2.0,21.0,141.0,4.375
856,667.0,54.0,16.0,654.0,3.75
857,151.0,9.0,9.0,652.0,4.375
859,205.0,3.0,13.0,84.0,5.0
860,325.0,0.0,0.0,1.0,3.75
862,121.0,1.0,10.0,5.0,4.375
863,208.0,0.0,0.0,216.0,5.0
865,186.0,1.0,1.0,8.0,4.375
866,169.0,0.0,18.0,16.0,3.75
868,102.0,2.0,1.0,15.0,0.0
869,439.0,3.0,24.0,36.0,3.75
871,780.0,18.0,31.0,73.0,5.0
873,139.0,5.0,10.0,604.0,4.375
874,143.0,6.0,12.0,138.0,4.375
875,1104.0,49.0,64.0,2179.0,3.75
876,265.0,3.0,19.0,236.0,2.5
877,461.0,4.0,15.0,131.0,4.375
881,471.0,15.0,28.0,416.0,4.375
883,380.0,8.0,21.0,361.0,4.375
884,1030.0,91.0,67.0,2101.0,5.0
885,249.0,8.0,20.0,242.0,3.75
886,589.0,31.0,49.0,259.0,4.375
887,562.0,6.0,35.0,253.0,4.375
889,880.0,55.0,62.0,1487.0,3.125
890,143.0,5.0,6.0,294.0,4.375
891,216.0,4.0,7.0,27.0,5.0
892,199.0,3.0,6.0,156.0,3.75
893,184.0,3.0,0.0,330.0,3.75
